Белок,Общие липиды (жиры),Углеводы,Энергия,Общие сахара,Пищевые волокна,"Натрий, Na"
,,,,,,
21.2,6.12,7.46,177.0,0.0,0.0,574.0
1.5,0.1,17.6,69.0,,5.3,20.0
0.4,0.3,4.8,23.0,,0.3,3.0
0.4,0.3,7.69,32.0,,1.1,7.0
6.81,3.47,9.22,95.0,,0.7,130.0
,,,,,,
16.9,7.66,8.14,172.0,0.03,0.4,510.0
17.7,7.94,8.86,181.0,0.03,0.2,522.0
0.09,0.45,76.4,310.0,68.0,0.2,4.0
0.99,0.29,32.0,563.0,,10.6,13.0
1.71,0.69,82.0,341.0,,15.6,14.0
0.52,0.15,16.2,68.0,,6.6,14.0
9.0,43.5,10.5,1960.0,,,24.0
3.4,31.8,13.4,353.0,,0.5,21.0
21.7,18.6,0.9,258.0,,,95.0
0.24,0.0,1.64,123.0,,0.0,4.0
0.25,0.0,1.3,29.0,,0.0,3.0
0.2,0.0,0.87,117.0,,0.0,3.0
0.25,0.0,0.77,46.0,,0.0,4.0
0.17,0.0,0.73,27.0,,0.0,3.0
0.46,0.0,3.55,43.0,,0.0,4.0
0.36,0.0,2.97,170.0,,0.0,3.0
0.0,0.3,41.6,371.0,,0.0,5.0
0.0,0.0,15.7,125.0,,0.0,40.0
0.06,0.06,6.94,186.0,,0.1,5.0
0.0,0.0,0.0,295.0,,0.0,1.0
0.0,0.0,0.0,231.0,,0.0,1.0
0.0,0.0,0.1,1050.0,,0.0,1.0
0.0,0.0,0.0,1100.0,,0.0,1.0
0.0,0.0,0.0,275.0,,0.0,1.0
0.0,0.0,0.0,231.0,,0.0,1.0
0.0,0.0,0.0,967.0,,0.0,1.0
0.0,0.0,0.1,1050.0,,0.0,0.0
2.8,15.7,20.9,1370.0,,0.0,92.0
0.1,0.3,46.8,1410.0,,0.0,8.0
0.1,0.3,32.2,308.0,,0.0,8.0
0.0,0.0,10.1,68.0,,0.0,5.0
0.6,7.6,27.6,237.0,,0.1,71.0
0.42,1.88,22.7,728.0,,0.3,6.0
0.5,0.0,5.0,561.0,,0.0,2.0
0.3,0.1,11.3,110.0,,0.0,57.0
0.0,0.03,13.2,149.0,,0.0,20.0
0.0,0.0,13.4,119.0,,0.1,44.0
0.06,0.06,12.8,153.0,,0.0,61.0
0.1,0.02,15.8,164.0,,0.0,47.0
0.5,0.0,6.3,50.0,,0.0,626.0
0.2,0.0,11.7,152.0,,0.0,9.0
0.2,0.0,13.7,160.0,,0.0,9.0
0.07,0.0,1.17,49.0,,0.0,7.0
0.07,0.0,2.72,347.0,,0.0,5.0
0.07,0.0,2.61,85.0,,0.0,4.0
0.07,0.0,2.79,85.0,,,
0.07,0.0,3.69,86.0,,,
0.07,0.0,2.45,349.0,,,
0.07,0.0,2.6,83.0,,,
0.07,0.0,2.4,311.0,,,
0.07,0.0,3.01,348.0,,,
0.07,0.0,2.38,326.0,,,
0.07,0.0,2.46,337.0,,,
0.07,0.0,2.51,83.0,,0.0,4.0
0.07,0.0,2.64,88.0,,,
0.07,0.0,2.68,85.0,,,
0.07,0.0,2.31,82.0,,,
0.07,0.0,2.62,86.0,,,
0.07,0.0,2.58,348.0,,,
0.07,0.0,2.86,369.0,,,
0.07,0.0,2.6,82.0,,0.0,5.0
0.07,0.0,2.16,84.0,,0.0,5.0
0.07,0.0,3.31,334.0,,,
0.07,0.0,2.27,82.0,,,
0.07,0.0,2.6,337.0,,,
0.07,0.0,13.4,467.0,,,
0.07,0.0,11.4,108.0,,,
0.07,0.0,3.48,319.0,,,
0.07,0.0,5.23,342.0,,,
0.07,0.0,1.94,81.0,,,
0.07,0.0,2.06,83.0,,,
0.07,0.0,3.74,337.0,,,
0.07,0.0,2.05,81.0,,,
0.07,0.0,3.12,82.0,,,
0.9,0.0,0.27,243.0,,0.0,4.0
0.36,0.0,3.8,83.0,,0.0,5.0
0.9,0.0,0.27,58.0,0.0,0.0,4.0
0.0,0.0,10.1,68.0,9.77,0.0,5.0
1.05,3.83,18.9,238.0,15.7,0.0,23.0
3.99,0.69,2.1,23.0,,1.9,6.0
3.99,0.69,2.1,23.0,0.2,1.9,6.0
2.37,15.2,1.48,150.0,0.9,0.0,554.0
2.26,11.7,2.4,121.0,1.44,0.3,425.0
6.72,15.5,1.2,170.0,0.73,0.0,521.0
6.63,12.6,1.95,147.0,1.17,0.3,417.0
7.08,13.7,1.2,155.0,0.73,0.0,519.0
6.99,10.9,1.95,132.0,1.17,0.3,414.0
6.11,12.6,1.76,144.0,0.73,0.0,542.0
6.03,9.76,2.5,121.0,1.17,0.3,437.0
21.0,55.5,18.8,614.0,6.27,10.3,227.0
12.1,18.0,42.2,364.0,13.7,6.0,318.0
11.1,17.8,44.2,366.0,13.8,4.4,326.0
14.7,21.9,36.2,385.0,5.58,7.1,381.0
13.4,21.6,38.6,388.0,5.66,5.1,390.0
20.8,53.0,21.2,,,9.72,0.996
21.0,55.5,18.8,614.0,6.27,10.3,115.0
16.1,13.3,4.64,198.0,1.44,1.3,335.0
0.53,1.18,4.31,30.0,3.99,0.0,58.0
0.57,1.2,7.44,43.0,6.97,0.1,56.0
0.55,1.22,0.34,15.0,0.0,0.0,60.0
0.61,1.26,0.51,16.0,0.0,0.1,60.0
0.656,1.56,0.671,,,0.0,59.2
0.555,1.22,0.337,,,0.0,59.6
0.0,100.0,0.0,884.0,0.0,0.0,0.0
9.0,27.7,47.8,458.0,36.2,4.8,9.0
13.0,38.8,44.0,560.0,32.8,6.4,49.0
20.1,53.3,20.1,599.0,4.65,10.4,500.0
14.1,45.3,35.8,579.0,25.0,7.3,385.0
20.2,53.7,20.3,604.0,4.69,10.5,195.0
21.0,52.5,21.0,598.0,4.86,10.9,3.0
20.1,53.4,20.2,601.0,4.67,10.5,386.0
21.2,49.9,21.6,579.0,4.35,12.5,1.0
20.3,54.0,20.4,607.0,4.71,10.6,3.0
0.0,0.0,3.75,15.0,3.75,0.0,8.0
3.8,1.58,18.7,102.0,,2.1,6.0
13.6,7.02,65.2,371.0,,6.7,4.0
2.11,0.18,4.11,21.0,,,257.0
2.11,0.18,4.11,21.0,,,21.0
2.46,0.33,4.02,97.0,,,20.0
0.83,0.96,16.2,72.0,12.4,2.1,1.0
,,,,,,
5.65,8.2,40.2,1080.0,,2.9,544.0
2.23,92.2,0.0,841.0,0.0,0.0,604.0
0.0,99.5,0.0,3750.0,,0.0,150.0
10.1,9.7,74.2,426.0,12.5,2.5,227.0
11.6,10.7,3.88,158.0,1.51,1.1,869.0
0.1,0.13,11.3,46.0,9.62,0.2,4.0
0.0,0.1,5.1,22.0,4.8,0.0,13.0
0.09,0.25,11.3,48.0,10.1,0.2,5.0
0.12,0.17,11.5,48.0,9.47,0.3,5.0
0.1,0.13,11.3,46.0,,0.2,4.0
0.12,0.17,11.5,48.0,,0.3,5.0
0.1,0.13,11.3,191.0,,0.2,4.0
0.14,0.1,11.5,47.0,,0.1,7.0
0.14,0.1,11.5,47.0,,0.1,7.0
0.51,0.37,41.0,166.0,,,25.0
0.51,0.37,41.0,166.0,,0.4,25.0
0.0859,0.286,11.4,,,,4.87
0.1,0.1,26.1,100.0,13.8,1.0,47.0
